compound_id,pic50_target,pic50_offtarget,selectivity_index,lle,le,developability_pass
C001,7.546177035344952,6.690240676930929,0.8559363584140227,5.081177035344952,0.310724936749498,True
C002,8.016162710484357,7.99351564203043,0.022647068453927055,3.2301627104843575,0.2877596870430282,False
C003,6.918977022685567,7.152506895359299,-0.23352987267373226,3.548977022685567,0.2767590809074227,False
C004,6.3449563585241835,7.878106648128853,-1.5331502896046691,1.675956358524184,0.22776766415215016,False
C005,7.245983570776603,7.572390932648922,-0.32640736187231933,3.1629835707766025,0.28983934283106405,True
C006,7.7440649242417905,7.064158252190673,0.6799066720511178,4.57506492424179,0.31887326158642665,True
C007,6.944637155893651,7.337245150171846,-0.3926079942781948,3.223637155893651,0.27006922272919753,True
C008,6.884179574421825,6.407561033678596,0.47661854074322907,4.881179574421825,0.3011828563809548,True
C009,7.36251459437981,7.450481531476032,-0.08796693709622172,3.39551459437981,0.28632001200365925,True
C010,7.513647238999419,7.61705896412677,-0.10341172512735053,3.2966472389994195,0.2921973926277552,False
C011,8.304620447356706,8.038788909822413,0.265831537534293,3.311620447356706,0.29811458016152276,False
C012,6.785373461469282,6.861523335855256,-0.07614987438597343,4.059373461469282,0.28786432866839373,False
C013,7.260402207242916,6.3109299504738985,0.9494722567690177,5.505402207242916,0.31764259656687754,True
C014,6.3263170449171025,6.689801125998147,-0.3634840810810447,3.8243170449171027,0.2683892079661801,True
C015,6.304746476998112,7.455148318294157,-1.1504018412960448,2.396746476998112,0.25218985907992447,False
C016,6.261784715478502,6.224277239110106,0.03750747636839602,4.535784715478502,0.27395308130218443,True
C017,7.02838703636596,7.565882842458637,-0.5374958060926769,2.9703870363659606,0.27332616252534286,False
C018,6.775538793713214,7.692790057027948,-0.9172512633147338,2.4895387937132147,0.2634931753110694,True
C019,5.370348533260863,6.241782846614034,-0.8714343133531708,3.673348533260863,0.23495274833016275,True
C020,7.860404523232195,7.423153221676496,0.43725130155569936,4.078404523232195,0.3056823981256965,False
C021,8.332005056777291,8.047572564829109,0.28443249194818243,3.471005056777291,0.3069686073549528,False
C022,8.69875394178495,8.065407345162235,0.6333465966227152,3.6037539417849507,0.3122629620127931,False
C023,8.564991491207078,7.777870235381961,0.7871212558251166,4.118991491207078,0.3330830024358308,False
C024,6.829680385573425,6.810268566110231,0.019411819463194036,4.148680385573425,0.28122213352361164,False
C025,7.443791364046466,7.17879140712035,0.26499995692611567,4.0037913640464655,0.30650905616661916,True
C026,6.711121640461406,7.005271155675559,-0.2941495152141531,3.5801216404614062,0.2609880637957213,True
C027,8.130908138232536,6.542870169296554,1.588037968935982,5.769908138232536,0.35572723104767345,True
C028,7.818571101537131,6.50537475802975,1.3131963435073812,5.6095711015371315,0.3127428440614852,True
